Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000,32.75342465753425,27.553424657534247,21.50958904109589,11.558904109589042
2001,48.03115264797508,27.118380062305295,23.98753894080997,11.925233644859814
2002,37.9097605893186,33.101289134438304,22.4548802946593,9.525735294117647
2003,40.935749588138385,31.573311367380562,19.098846787479406,10.232786885245902
2004,39.886297376093296,27.08454810495627,15.641399416909621,10.612244897959183
2005,42.67707317073171,30.23707317073171,13.559454191033138,10.208780487804878
2006,42.23364485981308,29.401869158878505,13.172897196261681,9.855140186915888
2007,41.503586800573885,31.203730272596843,12.527977044476327,9.407460545193688
2008,38.67077344284736,37.9958932238193,11.157318741450068,7.501369863013698
2009,30.61875,38.8,10.121875,6.515625
2010,31.224056603773583,32.60377358490566,7.738207547169812,6.679245283018868
2011,36.06750392464678,42.07064364207221,8.883830455259027,5.767295597484277
2012,36.44721407624633,35.54618768328446,9.213919413919413,6.184615384615385
2013,25.502857142857142,39.153333333333336,7.086666666666667,5.08952380952381
2014,30.119482320314305,38.46036514906402,4.291916859122402,5.431082331174838
2015,35.530680728667306,38.63950143815916,4.9276126558005755,6.544497607655503
2016,42.15985130111524,31.286245353159853,3.9479553903345725,7.843866171003717
